Title,Author Last Name,Author First Nem,Main Genre,Sub-Genre,Read (Y/N),Date Started,Date Completed,Number of Times Read,Cover Value,Price Paid,Year Purchased,Year Read,Purchase Location,Store Name
The Intelligent Investor,Graham,Benjamin,Business,Finance,N,,,,$22.99 ,$22.99 ,2012,,Atlanta,
Originals,Grant ,Adam,Business,Motivation,Y,16-Jan,16-Jan,1,$27.00 ,$27.00 ,2016,,Atlanta,
The Soul of the Marionette,Gray,John,Philosophy,Philosophy ,N,,,,$23.00 ,$23.00 ,2015,,Atlanta,
The Hidden Reality,Greene,Brian,Science,Science - Physics,N,,,,$29.95 ,$15.00 ,2012,,Kennesaw,
The Art of Seduction,Greene,Robert,Science,Romance,Y,13-Jan,13-Jan,1,$15.99 ,$15.99 ,2013,,Amazon,
The Elegant Universe,Greene,Brian,Science,Physics,Y,10-Jan,10-Jan,1,$19.95 ,$19.95 ,2010,,Kennesaw,
Born For This,Guillebeau,Chris,Business,Entrepreneurship,N,,,,$26.00 ,$26.00 ,2015,,Atlanta,
The $100 Startup ,Guillebeau,Chris,Business,Entrepreneurship,N,,,,$23.00 ,$16.32 ,2014,,Amazon,
The Art of Non-Conformity,Guillebeau,Chris,Business,Self-Help,Y,,,,,,,,,
Side Hustle,Guillebeau,Chris,Business,Entrepreneurship,N,,,,,,,,,
The Happiness of Pursuit,Guillebeau,Chris,Business,Self-Help,N,,,,,,,,,
The Measure of a Man,Getz,Gene,Religion,Protestantism,N,,,,$10.39 ,$10.39 ,2016,,Amazon,
The Story of Christianity Vol. 1,Gonzalez,Justo,Religion,Church History,N,,,,,,,,,
The Story of Christianity Vol. 2,Gonzalez,Justo,Religion,Church History,N,,,,,,,,,
The Historical Jesus,Habermas,Gary,Religion,Protestantism,N,,,,$19.99 ,$0.00 ,2016,,Atlanta,
Reasons to Believe,Hahn,Scott,Religion,Catholicism,N,,,,$25.00 ,$16.37 ,2017,,Amazon,
"Lord, Have Mercy",Hahn,Scott,Religion,Catholicism,N,,,,$25.00 ,$17.24 ,2017,,Amazon,
The Lamb's Supper,Hahn,Scott,Religion,Catholicism,N,,,,$22.00 ,$22.00 ,2017,,Atlanta,
Rome Sweet Home,Hahn,Scott,Religion,Catholicism,N,,,,$16.95 ,$10.97 ,2016,,Amazon,
The Righteous Mind: How Good People are Divided by Politics & Religion,Haidt,Jonathan,Psychology,American,Y,,May-18,1,$16.95 ,$16.95 ,2018,2018,St. Louis,Barnes & Noble
Homo Deus,Harari,Yuval,Science,Science,N,,,,$35.00 ,$35.00 ,2017,,"Columbus, OH",
Sapiens,Harari,Yuval,Science,Science,N,,,,$35.00 ,$19.85 ,2017,,San Diego,
"Swear to God : The Promise and Power of the 
Sacraments",Hahn,Scott,Religion,Catholicism,Y,17-Oct,17-Oct,1,$23.00 ,$16.69 ,2017,,Amazon,
Angels & Saints,Hahn,Scott,Religion,Catholicism,N,,,,$25.00 ,$17.20 ,2017,,Amazon,
Angels and Saints,Hahn,Scott,Religion,Catholicism,N,,,,,,,,,
Boy Meets Girl,Harris,Joshua,Religion,Dating,Y,,,1,$13.99 ,$13.99 ,2009,,Canton,
Waking Up,Harris,Sam,Religion,Atheism,N,,,,$25.00 ,$7.95 ,2017,,Sacramento,
The Moral Landscape,Harris,Sam,Philosophy,Morality,N,,,,,,,,,
Free Will,Harris,Sam,Philosophy,American,N,,,,,,,,,
A Brief History of Time,Hawking,Stephen,Science,Science - Physics,N,,,,$9.95 ,$9.95 ,2013,,Atlanta,
The Universe in a Nutshell,Hawking,Stephen,Science,Science - Physics,N,,,,$9.95 ,$9.95 ,2013,,Atlanta,
The Essentials,HBR,HBR,Business,Miscelaneous,N,,,,$24.95 ,$24.95 ,2017,,Atlanta,
Managing Yourself,HBR,HBR,Business,Management,N,,,,$24.95 ,$24.95 ,2017,,Atlanta,
Emotional Intelligence,HBR,HBR,Business,Management,N,,,,$24.95 ,$24.95 ,2017,,Atlanta,
Finance Basics,HBR,HBR,Business,Finance,N,,,,$12.95 ,$12.95 ,2017,,Atlanta,
Lectures on the Philosophy of Religion,Hegel,Hegel,Philosophy,Philosophy ,N,,,,$8.00 ,$8.00 ,2017,,Los Angeles,
The Philosophy of Art,Hegel,Hegel,Philosophy,Philosophy ,N,,,,$8.95 ,$8.95 ,2013,,Kennesaw,
Basic Writings of Martin Heidegger,Heidegger,Martin,Philosophy,German,N,,,,$15.99 ,$10.78 ,2017,,Atlanta,
Thank You For Arguing,Heinrichs,Jay,Philosophy,Rhetoric,N,,,,$17.00 ,$17.00 ,2016,,Atlanta,
Letter to a Crhistian Nation,Harris,Sam,Religion,Atheism,Y,17-Aug,17-Dec,1,$14.95 ,$14.95 ,2017,,Atlanta,
Catch-22,Heller,Joseph,Fiction,American,N,,,,$16.00 ,$16.00 ,2010,,Canton,
For Whom The Bell Tolls,Hemingway,Ernest,Fiction,American,Y,10-Jan,10-Jan,1,$16.00 ,$16.00 ,2010,,Canton,
The Old Man and the Sea,Hemingway,Ernest,Fiction,American,Y,10-Jan,10-Jan,1,$12.00 ,$12.00 ,2010,,Canton,
You Don't Have to Be a Shark,Herjavec,Robert,Business,Sales,Y,16-Jan,16-Dec,1,$27.99 ,$27.99 ,2016,,Atlanta,
Siddhartha,Hesse,Hermann,Fiction,German,Y,15-Jan,15-Jan,1,$15.00 ,$15.00 ,2015,,Atlanta,
Explaining Post-modernism,Hicks,Stephen,Current Events,,N,,,,,,,,,
Sex is Not the Problem (just is),Harris,Joshua,Religion,Dating,Y,,,1,$13.99 ,$13.99 ,2009,,Canton,
Think & Grow Rich,Hill,Napoleon,Business,Self-Help,Y,11-Jan,11-Jan,1,$10.00 ,$10.00 ,2010,,Canton,
Unbroken,Hillenbrand,Laura,Biography,Biography,Y,14-Jan,14-Jan,1,$16.00 ,$16.00 ,2014,,Atlanta,
"The End of Faith: Religion, Terror, and the Future of Reason",Harris,Sam,Religion,Atheism,Y,,Jun-18,1,$16.95 ,$9.99 ,2018,2018,Los Angeles,The Last Bookstore
I Dare You Not to Bore Me with the Bible,Heiser,Michael,Religion,Protestantism,N,,,,,,,,,
Changing Faith,Hidalgo,Michael,Religion,Protestantism,N,,,,$16.00 ,$14.34 ,2015,,Atlanta,
The Confessions,Hippo,Augustine of,Religion,Catholicism,N,,,,$15.00 ,$15.00 ,2015,,Atlanta,
On Free Choice of the Will,Hippo,Augustine of,Religion,Catholicism,N,,,,$10.00 ,$5.00 ,2017,,San Francisco,
The Whale,Hoare,Philip,Science,Biology,N,,,,$15.99 ,$6.98 ,2017,,San Francisco,Green Apple Books
The Te of Piglet,Hoff,Benjamin,Philosophy,Philosophy ,N,,,,$15.00 ,$15.00 ,2014,,Atlanta,
The Tao of Pooh,Hoff,Benjamin,Philosophy,Philosophy ,Y,14-Jan,14-Jan,1,$14.00 ,$14.00 ,2014,,Atlanta,
The Odyssey,Homer,Homer,Fiction,Greek Poetry,N,,,,$18.00 ,$18.00 ,2014,,Atlanta,
The Illiad,Homer,Homer,Fiction,Greek Poetry,Y,14-Jan,14-Jan,1,$18.00 ,$18.00 ,2014,,Atlanta,
The City of God,Hippo,Augustine of,Religion,Catholicism,N,,,,$25.00 ,$25.00 ,2014,,Atlatna,
god Is Not Great,Hirchens,Christopher,Religion,Atheism,Y,,,1,$16.00 ,$16.00 ,2015,,Atlanta,
The Portable Atheist,Hitchens,Christopher,Religion,Atheism,N,,,,$17.95 ,$10.00 ,2017,,Atlanta,
The Orthodox Faith Vol 1: Doctrine & Scripture,Hopko,Thomas,Religion,Orthodoxy,Y,17-Oct,17-Oct,1,$14.50 ,$14.50 ,2017,,Amazon,
The Lost Art of Finding Our Way,Huth,John ,Science,Science - Geography,N,,,,$40.00 ,$40.00 ,2015,,Atlanta,
The Doors of Perception,Huxley ,Aldous,Science,Drugs,Y,17-Dec,17-Dec,1,$14.99 ,$14.99 ,2015,,Atlanta,
Avenue of Mysteris,Irving,John,Fiction,American,N,,,,$28.00 ,$6.00 ,2017,,Atlanta,
The World According to Garp,Irving,John,Fiction,American,Y,,,,,,,,,
Einstein,Isaacson,Walter,Biography,Biography,Y,,,1,$19.99 ,$19.99 ,2011,,Kennesaw,
Steve Jobs,Isaacson,Walter,Biography,Biography,N,,,,$20.00 ,$13.85 ,2016,,Oklahoma City,
Clay Water Brick,Jackley ,Jessica,Business,Entrepreneurship,Y,16-Jan,16-Jan,1,$28.00 ,$28.00 ,2016,,Atlanta,
Assholes: A Theory,James,Aaron,Philosophy,Philosophy ,N,,,,$15.00 ,$15.00 ,2015,,Atlanta,
The Varieties of Religious Experience,James,William,Philosophy,American,N,,,,$40.00 ,$10.00 ,2017,,San Francisco,Green Apple Books
"I Don't Know what I want, but I know It's Not This",Jansen,Julie,Business,Career Search,Y,17-Jul,17-Jul,1,$16.00 ,$16.00 ,2017,,Los Angeles,
The Medici Effect,Johansson,Frans,Business,Strategy,N,,,,$25.00 ,$25.00 ,2017,,Atlanta,
The Power of Broke,John,Daymond,Business,Entrepreneurship,N,,,,$26.00 ,$26.00 ,2016,,Atlanta,
How W Got to Now,Johnson,Steven,Science,Science - History,N,,,,$30.00 ,$12.00 ,2016,,Oklahoma City,
Who Moved My Cheese?,Johnson,Spencer,Self-Help,Self-Help,Y,14-Jan,14-Jan,1,$19.95 ,$19.95 ,2014,,Atlanta,
The Orthodox Faith Vol 2: Worship,Hopko,Thomas,Religion,Orthodoxy,Y,17-Oct,17-Oct,1,$14.50 ,$14.50 ,2017,,Amazon,
A Portrait of the Artist as a Young Man,Joyce,James,Fiction,Irish,N,,,,$11.00 ,$11.00 ,2015,,Atlanta,
Dreams,Jung,C.G.,Psychology,,N,,,,,,,,,
The Orthodox Faith Vol 3: Church History,Hopko,Thomas,Religion,Orthodoxy,Y,17-Nov,17-Nov,1,$14.50 ,$14.50 ,2017,,Amazon,
The Orthodox Faith Vol 4: Spirituality,Hopko,Thomas,Religion,Orthodoxy,Y,17-Nov,17-Nov,1,$14.50 ,$14.50 ,2017,,Amazon,
Ancient Church Fathers,Jonson,Ken,Religion,Church History,N,,,,,,,,,
Blue Ocean Strategy,K,W. Chan,Business,Strategy,N,,,,$32.00 ,$32.00 ,2017,,Alpharetta,
The Trial,Kafka,Franz,Fiction,,N,,,,,,,,,
"Thinking, Fast and Slow",Kahneman,Daniel,Business,Economics,N,,,,$17.00 ,$17.00 ,2015,,Atlanta,
Immanuel Kant: Basic Writings,Kant,Immanuel,Philosophy,Philosophy ,N,,,,$17.00 ,$17.00 ,2016,,Atlanta,
Losing the Nobel Prize,Keating,Brian,Science,,N,,,,,,,,,
The One Thing,Keller,Gary,Business,Management,N,,,,$24.95 ,$24.95 ,2015,,Atlanta,
The Faith of the Early Fathers Vol. 1,Jurgens,William A.,Religion,Church History,N,,,,,,,,,
The Faith of the Early Fathers Vol. 2,Jurgens,William A.,Religion,Church History,N,,,,,,,,,
The Faith of the Early Fathers Vol. 3,Jurgens,William A.,Religion,Church History,N,,,,,,,,,
The Reason for God,Keller,Timothy,Religion,Apologetics,Y,11-Jan,11-Jan,1,$16.00 ,$16.00 ,2011,,Atlanta,
The Meaning of Marriage,Keller,Timothy,Religion,Marriage,N,,,,$17.00 ,$0.00 ,2017,,Atlanta,
Flowers for Algernon,Keyes,Daniel,Fiction,American,N,16-Jan,,,$8.95 ,$8.95 ,2016,,Atlanta,
Philosophical Fragments,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$39.95 ,$31.82 ,2017,,Amazon,
Concluding Unscientific Postscript,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$20.00 ,$5.00 ,2017,,Los Angeles,
The Concept of Anxiety,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$29.95 ,$29.95 ,2016,,Atlanta,
The Sickness Unto Death,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$25.95 ,$20.47 ,2016,,Alpharetta,
Without Authority,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$46.95 ,$40.67 ,2016,,Amazon,
"For Self-Examination, Judge For Yourself!",Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$46.95 ,$35.68 ,2016,,Amazon,
Either/Or I,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$40.00 ,$40.00 ,2015,,Atlanta,
Either/ Or II,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$35.00 ,$35.00 ,2015,,Atlanta,
"Fear and Trembling, Repetition",Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$30.95 ,$30.95 ,2015,,Atlanta,
Upbuilding Discourses In various Spirits,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$46.93 ,$46.93 ,2015,,Amazon,
Practice In Christianity,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$46.95 ,$35.68 ,2015,,Amazon,
Works of Love,Kierkegaard,Soren,Philosophy,Philosophy ,N,,,,$15.99 ,$15.99 ,2014,,Canton,
Provocations: Spiritual Writings of Kierkegaard,Kierkegaard,Soren,Philosophy,Philosophy ,Y,,,1,$20.00 ,$20.00 ,2014,,Atlanta,
Blue Ocean Strategy Reader,Kim,W. Chan,Business,Strategy,N,,,,$24.95 ,$24.95 ,2016,,Atlanta,
Blue Ocean Shift,Kim,W. Chan,Business,Entrepreneurship,N,,,,,,,,,
On Writing,King,Stephen,Writing,Writing,N,,,,$17.00 ,$17.00 ,2016,,Atlanta,
Rich Dad Poor Dad,Kiyosaki,Robert,Business,Finance,N,13-Jan,13-Jan,,$16.95 ,$16.95 ,2013,,Alpharetta,
The Great Good Thing,Klavan,Andrew,Memoir,Religion,Y,,,,,,,,,
"Every Time I Find the Meaning of Life, 
They Change It",Klein,Daniel,Philosophy,American,Y,17-Jan,17-Aug,1,$20.00 ,$20.00 ,2017,,Atlanta,
Quench Your Thirst,Koch,Jim,Business,Entrepreneurship,Y,16-Jan,16-Jan,1,$27.99 ,$27.99 ,2016,,Atlanta,
The Leadership Challenge 5th Edition,Kouzes,Posner,Business,Leadership,N,,,,$29.95 ,$29.95 ,2016,,Atlanta,
The Leadership Challenge 3rd Edition,Kouzes,Posner,Business,Leadership,Y,16-Jan,16-Jan,1,$22.95 ,$9.13 ,2016,,Amazon,
Into the Wild,Krakauer,Jon,Travel,Travel,Y,16-Jan,16-Jan,1,$14.95 ,$14.95 ,2016,,Atlanta,
Center Church ,Keller,Timothy,Religion,Protestantism,N,,,,$29.99 ,$25.52 ,2014,,Amazon,
If You Really Want to Change the World,Kressel ,Henry,Business,Entrepreneurship,N,,,,$30.00 ,$30.00 ,2015,,Atlanta,
The Decision Book,Krogerus,Mikael,Business,Thinking,N,13-Jan,13-Jan,,$17.95 ,$17.95 ,2013,,Atlanta,
The Imitation of Christ,Kempis,Thomas A,Religion,Catho,N,,,,$14.00 ,$14.00 ,2016,,Atlanta,
Built For Growth,Kuenne,Chris,Business,Management,Y,17-Dec,17-Dec,1,$30.00 ,$18.90 ,2017,,Online,Amazon
The Go Getter,Kyne,Peter,Business,Motivation,Y,13-Jan,13-Jan,1,$10.00 ,$10.00 ,2013,,Atlanta,
The Art of Happiness,Lama,Dalai,Philosophy,Philosophy ,Y,10-Jan,10-Jan,1,$27.00 ,$27.00 ,2010,,Canton,
Thou Shall Prosper,Lapin,Rabbi Daniel,Business,Business - Finance,Y,13-Jan,13-Jan,1,$29.95 ,$18.50 ,2013,,Amazon,
Moonlighting the Internet,Larson,Shelby,Business,Side Hustle,N,,,,$19.95 ,$19.95 ,2017,,Alpharetta,
The Imitation of Christ,Kempis,Thomas a,Religion,Christianity,N,,,,,,,,,
"Catholics and Protestants: What We Can Learn 
from Each Other",Kreeft,Peter,Religion,Apologetics - Catholic,N,,,,$16.95 ,$13.43 ,2017,,Amazon,
To Kill a Mockingbird,Lee,Harper,Fiction,American,N,,,,$16.99 ,$16.99 ,2016,,Atlanta,
The Five Dysfunctions of a Team,Lencioni,Patrick,Business,Management,N,,,,$22.95 ,$22.95 ,2016,,San Francisco,
Confessions of a Born Again Pagan,Kronman,Anthony,Religion,Atheism,N,,,,$50.00 ,$36.83 ,2017,,Amaon,
Freakonomics,Levitt,Steven,Business,Economics,Y,12-Jan,12-Jan,1,$16.99 ,$16.99 ,2012,,Atlanta,
When to Rob a Bank,Levitt,Steven,Business,Economics,N,,,,$25.99 ,$25.99 ,2015,,Atlanta,
Think Like a Freak,Levitt,Steven,Business,Economics,Y,15-Jan,15-Jan,1,$16.99 ,$16.99 ,2015,,Atlanta,
The Practice of the Presence of God,Lawrence,Brother,Religion,Protestantism,N,,,,$3.00 ,$3.00 ,2016,,Amazon,
The Good Life,Lee,Trip,Religion,Protestantism,Y,12-Jan,12-Jan,1,$10.99 ,$10.99 ,2012,,Atlanta,
God's Undertaker,Lennox,John,Religion,Apologetics,N,,,,$14.95 ,$14.95 ,2015,,Atlanta,
Mere Christianity,Lewis,C.S.,Religion,Apologetics,Y,13-Jan,13-Jan,1,$13.99 ,$13.99 ,2013,,Atlanta,
Out of the Silent Planet,Lewis,CS,Fiction,British,Y,14-Jan,14-Jan,1,$15.00 ,$15.00 ,2014,,Atlanta,
Perelandra,Lewis,CS,Fiction,British,Y,15-Jan,15-Jan,1,$14.00 ,$14.00 ,2015,,Atlanta,
Till We Have Faces,Lewis,CS,Fiction,British,N,,,,$14.95 ,$14.95 ,2017,,Atlanta,
That Hideous Strength,Lewis,CS,Fiction,British,N,,,,$16.00 ,$16.00 ,2015,,Atlanta,
The Abolition of Man,Lewis,C.S.,Religion,Apologetics,N,,,,$13.99 ,$13.99 ,2016,,Atlanta,
Miracles,Lewis,C.S.,Religion,Apologetics - Protestant,N,,,,$14.99 ,$14.99 ,2016,,Atlanta,
Las Cronicas de Narnia,Lewis,CS,Fiction,British,N,14-Jan,,,$19.99 ,$19.99 ,2014,,Atlanta,
The Pilgrim's Regress,Lewis,CS,Fiction,British,N,,,,$25.00 ,$25.00 ,2012,,Amazon,
The Chronicles of Narnia,Lewis,CS,Fiction,British,N,6-Jan,,,$19.99 ,$19.99 ,2006,,Canton,
The Screwtape Letters,Lewis,CS,Fiction,British,Y,11-Jan,11-Jan,1,$24.99 ,$24.99 ,2011,,Canton,
The Secular Saints,Lewis,Hunte,Philosophy,,N,,,,,,,,,
Einstein's Dream,Lightman,Alan,Fiction,American,N,,,,$14.95 ,$8.50 ,2016,,Pasadena,
The Paper Menagerie,Liu,Ken,Fiction,American,N,,,,$15.99 ,$5.98 ,2017,,San Francisco,Green Apple Books
La Ciudad Y Los Perros,Llosa,Mario Vargas,Fiction,Peruvian,N,,,,$15.00 ,$15.00 ,2016,,Athens,
Two Treatises of Government and A Letter Concerning Toleration,Locke,John,Philosophy,English,N,,,,,,,,,
The Call of the Wild ,London,Jack,Fiction,American,Y,,,,,,,,,
White Fang,London,Jack,Fiction,American,Y,,,,,,,,,
Longfellow: Poems and Other Writings,Longfellow,William Wadsworth,Poetry,American,N,,,,$35.00 ,$35.00 ,2010,,Kennesaw,
The Weight of Glory,Lewis,C.S.,Religion,Apologetics,N,,,,$11.99 ,$11.99 ,2015,,Atlanta,
Great Tales of Horror,Lovecraft,H.P.,Fiction,American,N,,,,$6.95 ,$6.95 ,2014,,Atlanta,
The Four Loves,Lewis,C.S.,Religion,Apologetics,Y,12-Jan,12-Jan,1,$13.00 ,$13.00 ,2012,,Atlanta,
The Bourne Identity,Ludlum,Robert,Fiction,American,N,15-Jan,,,$9.99 ,$0.00 ,2015,,Tampa,
The Great Divorce,Lewis,C.S.,Religion,Apologetics,Y,14-Jan,14-Jan,1,$13.99 ,$13.99 ,2014,,Atlanta,
Mary: A Catholic-Evangelical Debate,Longnecker,Dwight,Religion,Catholic,Y,17-Aug,17-Aug,1,$10.95 ,$10.95 ,2017,,Amazon,
The Spiritual Exercises of Saint Ignatius,Loyola,Ignatius of,Religion,Catholicism,N,,,,$14.00 ,$11.63 ,2016,,Atlanta,
The Nienety-Five Theses & Other Writings,Luther,Martin,Religion,Protestantism,N,,,,$16.00 ,$16.00 ,2016,,Alpharetta,
The Bondage of the Will,Luther,Martin,Religion,Protestantism,N,,,,$19.99 ,$19.99 ,2016,,Amazon,
The Prince,Machiavelli,Niccolo,Philosophy,Philosophy ,N,,,,$15.00 ,$15.00 ,2017,,Atlanta,
The Last Lion,Manchester,William,Biography,Biography,N,,,,$24.00 ,$24.00 ,2015,,Atlanta,
The Greatest Salesman in the World,Mandino,Og,Business,Sales,Y,13-Jan,13-Jan,1,$7.99 ,$7.99 ,2013,,Atlanta,
Concerning Christian Liberty,Luther,Martin,Religion,Catholicism,N,,,,,,,,,
The Suble Art of Not Giving a Fuck,Manson,Mark,Business,Self-Help,N,,,,$24.99 ,$15.00 ,2017,,Atlanta,
e The Story of a Number,Maor,Eli,Science,Mathematics,N,,,,$16.95 ,,2018,,Online,Amazon
Cien Años de Soledad (50 Aniversario),Marquez,Gabriel Garcia,Fiction,Colombian,N,,,,$22.00 ,$22.00 ,2017,,Atlanta,
El Amor en los Tiempos de Colera ,Marquez,Gabriel Garcia,Fiction,Colombian,N,14-Jan,,,$15.95 ,$15.95 ,2014,,Atlanta,
"La Increible Y Triste Historia de la Candida 
Erendira y de Su Abuela Desalmada",Marquez,Gabriel Garcia,Fiction,Colombian,N,14-Jan,,,$14.00 ,$14.00 ,2014,,Atlanta,
Memoria de Mis Putas Tristes,Marquez,Gabriel Garcia,Fiction,Colombian,N,14-Jan,,,$14.95 ,$14.95 ,2014,,Atlanta,
Cien Años de Soledad,Marquez,Gabriel Garcia,Fiction,Colombian,N,,,,$15.95 ,$15.95 ,2014,,Atlanta,
Cien Años de Soledad,Marquez,Gabriel Garcia,Fiction,Colombian,N,,,,$15.95 ,$15.95 ,2014,,Atlanta,
Life of PI,Martel,Yann,Fiction,Canadian,Y,10-Jan,10-Jan,1,$15.00 ,$15.00 ,2010,,Canton,
Beatrice and Virgil,Martel,Yann,Fiction,Canadian,N,,,,$16.00 ,$16.00 ,2013,,Atlanta,
The High Mountains of Portugal,Martel,Yann,Fiction,Canadian,Y,17-Oct,17-Oct,1,$27.00 ,$6.95 ,2017,,Atlanta,
Getting Beyond Better,Martin,Roger,Business,Entrepreneurship,Y,17-Jun,17-Jun,1,$30.00 ,$30.00 ,2017,,Atlanta,
Christianity the First Three Thousand Years,MacCulloch,Diarmaid,Religion,Church History,Y,16-Jan,16-Jan,1,$28.00 ,$28.00 ,2016,,Atlanta,
All Things Made New,MacCulloch,Diarmaid,Religion,Church History,N,,,,$29.95 ,$29.95 ,2016,,Alpharetta,
Mansfield's Book of Manly Men,Mansfield,Stephen,Religion,Manhood,Y,14-Jan,14-Jan,1,$19.99 ,$0.00 ,2014,,Atlanta,
The Communist Manifesto,Marx,Karl,Business,Economics,N,,,,,,,,,
My Life With The Saints,Martin,James,Religion,Catholicism,N,,,,$15.95 ,$11.75 ,2016,,Amazon,
25 Ways to Win With People,Maxwell,John C,Leadership,Self-Help,Y,10-Jan,10-Jan,1,$19.99 ,$19.99 ,2010,,Canton,
Be a People Person,Maxwell,John C,Leadership,Self-Help,Y,9-Jan,10-Jan,1,$16.99 ,$16.99 ,2009,,Canton,
Intentional Living,Maxwell,John C,Self-Help,Self-Help,Y,16-Jan,16-Jan,1,$27.00 ,$27.00 ,2016,,Atlanta,
Failing Forward,Maxwell,John C,Self-Help,Self-Help,N,12-Jan,12-Jan,,$15.99 ,$15.99 ,2012,,Atlanta,
Good Leaders Ask Great Questions,Maxwell,John C,Self-Help,Self-Help,N,12-Jan,12-Jan,,$26.99 ,$26.99 ,2012,,Atlanta,
The 21 Irrefutable Laws of Leadership,Maxwell,John C,Self-Help,Self-Help,Y,9-Jan,10-Jan,1,$24.99 ,$24.99 ,2009,,Canton,
Your Roadmap for Success,Maxwell,John C. ,Business,Self-Help,N,,,,,,,,,
The ISIS Apocalypse,McCants,William,Current Events,Current Events,Y,,,1,$26.99 ,$16.00 ,2016,,Amazon,
Blood Meridian,McCarthy,Cormac,Fiction,American,Y,,,1,$15.95 ,$15.95 ,2016,,Tucson,
The Road,McCarthy,Cormac,Fiction,American,Y,16-Jan,16-Jan,1,$15.95 ,$15.95 ,2016,,Tucson,
Brief,McCormack,Joseph,Business,Time Management,N,11-Jan,11-Jan,,$24.00 ,$24.00 ,2011,,Canton,
Mornings on Horseback,McCullough,David,Biography,Biography,Y,,,1,$17.95 ,$17.95 ,2009,,Atlanta,
1776,McCullough,David,History,History,N,,,,$15.00 ,$15.00 ,2010,,Atlanta,
The Jesuit Guide to Almost Everything,Martin,James,Religion,Catholicism,Y,17-Feb,17-Feb,1,$16.99 ,$16.99 ,2017,,Alpharetta,
Food of the Gods,McKenna,Terence,Philosophy,Philosophy ,N,,,,$16.00 ,$16.00 ,2016,,Atlanta,
Make Your Bed,McRaven,William,Business,Self-Help,N,,,,$18.00 ,$12.60 ,2017,,Atlanta,
Moby Dick,Melville,Hermann,Fiction,American,Y,17-Sep,17-Sep,1,$6.95 ,$6.95 ,2017,,Los Angeles,
