Title,Author Last Name,Author First Nem,Main Genre,Sub-Genre,Read (Y/N),Date Started,Date Completed,Number of Times Read,Cover Value,Price Paid,Year Purchased,Year Read,Purchase Location,Store Name
Pragmatism: A Reader,Menand,Louis,Philosophy,American,N,,,,$19.00 ,$19.00 ,2014,,Atlanta,
"October 31, 1517",Marty,Martin,Religion,Protestantism,Y,17-Sep,17-Sep,1,$19.99 ,$19.99 ,2017,,Atlanta,
Mary as the Early Christians Knew Her,Mathewes-Green,Frederica,Religion,Orthodoxy,N,,,,$15.00 ,$15.00 ,2017,,San Francisco,
"Bonhoeffer: Pastor, Martyr, Propher, Spy",Metaxas,Eric,Biography,Biography,N,,,,$29.99 ,$0.00 ,2009,,Atlanta,
Utilitarianism,Mill,John Stuart,Philosophy,British,N,,,,$7.95 ,$5.00 ,2017,,Atlanta,
QBQ,Miller,John G,Business,Strategy,Y,,,1,$19.95 ,$12.47 ,2015,,Amazon,
More Than a Carpenter,McDowell,Joshua,Religion,Protestantism,N,,,,$6.99 ,$6.99 ,2016,,Atlanta,
No Man Is an Island,Merton,Thomas,Religion,American,N,,,,$14.95 ,$14.95 ,2017,,Boulder,
Life and Holiness,Merton,Thomas,Religion,Catholicism,N,,,,,,,,,
The Marshmallow Test,Mischel,Walter,Science,Science - Psychology,N,,,,$16.99 ,$16.99 ,2016,,New York,
The Bone Clocks,Mitchell,David,Fiction,American,N,,,,$30.00 ,$7.00 ,2017,,Atlanta,
Unashamed,Moore,Lecrae,Memoir,Memoir,Y,,,1,$24.99 ,$24.99 ,2016,,Atlanta,
Crossing the Chasm,Moore,Geoffrey,Business,Entrepreneurship,Y,,,,,,,,,
Todo Amor,Moraes,Vinicius De,Poetry,Brazilian,N,,,,,,,,,
Pela Luz dos Olhos Teus,Moraes,Vinicius De,Poetry,Brazilian,N,,,,,,,,,
Entering the Orthodox Church,Metropolitan of Nafpaktos,Hierotheos,Religion,Orthodoxy,Y,,Jun-18,1,$20.00 ,$20.00 ,2018,2018,Saint Louis,Archangels Books & Gifts
Not Enough,Moyn,Samuel,Philosophy,Morality,N,,,,,,,,,
Hesychia and Theology,Metropolitan of Nafpaktos,Hierotheos,Religion,Orthodoxy,Y,,Jun-18,1,$42.00 ,$33.00 ,2018,2018,Saint Louis,Archangels Books & Gifts
Emperor of Maladies,Mukherjee,Siddhartha,Science,Science - Medicine,N,,,,$18.00 ,$18.00 ,2014,,Alpharetta,
The Gene,Mukherjee,Siddhartha,Science,Biology,N,,,,,,,,,
El Gen,Mukherjee,Siddhartha,Science,Biology,N,,,,,,,,,
What If,Munroe,Randall,Science,Science ,N,,,,$24.00 ,$15.00 ,2016,,Oklahoma City,
Andrew Carnegie,Nasaw,David,History,Biography,N,,,,,,,,,
Life After Death,Metropolitan of Nafpaktos,Hierotheos,Religion,,,,,,,,,,,
A Million Miles in a Thousand Years,Miller,Donald,Religion,Christian,Y,15-Jan,15-Jan,1,$16.99 ,$16.99 ,2016,,Atlanta,
Blue Like Jazz,Miller,Donald,Religion,Protestantism,Y,15-Jan,15-Jan,1,$16.99 ,$16.99 ,2016,,Alpharetta,
Beyong Good & Evil,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$14.11 ,$14.11 ,2017,,Atlanta,
On the Geneology of Morals,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$15.95 ,$12.27 ,2017,,Atlanta,
Thus Spoke Zarathustra,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$20.00 ,$20.00 ,2017,,Atlanta,
The Birth of Tragedy,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$12.00 ,$12.00 ,2017,,Sacramento,
Aurora,Nietzsche,Friedrich,Philosophy,German,N,,,,$15.00 ,$15.00 ,2017,,Natal,
Beyond Good & Evil,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$9.95 ,$9.95 ,2016,,Atlanta,
On the Geneology of Morals,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$9.95 ,$9.95 ,2016,,Atlanta,
Thus Spoke Zarathustra,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$9.95 ,$9.94 ,2016,,Atlanta,
Twilight of the Idols,Nietzsche,Friedrich,Philosophy,Philosophy ,N,,,,$13.00 ,$13.00 ,2016,,Sacramento,
"Human, All Too Human",Nietzsche,Friedrich,Philosophy,German,N,,,,$18.95 ,$18.95 ,2016,,Atlanta,
The Most Excellent Way to Lead,Noble,Perry,Business,Leadership,N,,,,$17.99 ,$17.99 ,2016,,Amazon,
Searching for God Knows What,Miller,Donald,Religion,Protestantism,Y,15-Jan,15-Jan,1,$15.99 ,$15.99 ,2016,,Atlanta,
Twelve Years a Slave,Northup,Solomon,Memoir,Memoir,N,,,,$15.00 ,$15.00 ,2016,,Atlanta,
O Great One! ,Novak,David,Business,Management,N,16-Jan,,,$25.00 ,$25.00 ,2016,,Atlanta,
Os Judeus Que Construiram o Brasil,Novinsky,Antonioa,History,Brazilian,N,,,,,,,,,
Dreams from My Father,Obama,Barack,Memoir,,N,,,,,,,,,
Everyday Holiness,Morinis,Alan,Religion,Judaism,N,,,,$22.95 ,$17.99 ,2015,,Amazon,
The Qur'An,Muhammed,Muhammed,Religion,Islam,N,,,,$20.00 ,$20.00 ,2017,,Oklahoma City,
Vatican I,O'Malley,,History,Christianity,N,,,,,,,,,
Animal Farm,Orwell,George,Fiction,British,Y,17-Dec,17-Dec,1,$24.00 ,$24.00 ,2017,2017,Oakland,Barnes & Noble
1984,Orwell,George,Fiction,British,N,,,,$24.00 ,$24.00 ,2017,,Oakland,Barnes & Noble
Rights of Man,Paine,Thomas,Philosophy,American,N,,,,,,,,,
Doctor Zhivago,Pasternak,Boris,Fiction,Russian,N,,,,,,,,,
Crucial Conversations,Patterson,Grenny,Business,Communication,Y,14-Jan,14-Jan,1,$20.00 ,$20.00 ,2014,,Atlanta,
Body Language,Pease,Allan,Business,Communication,Y,10-Jan,10-Jan,1,$25.00 ,$25.00 ,2010,,Kennesaw,
The Road Less Travelled,Peck,M. Scott,Self-Help,Self-Help,Y,16-Jan,16-Jan,1,$16.99 ,$16.99 ,2016,,Atlanta,
This Present Darkness,Peretti,Frank E. ,Fiction,Christian American,N,,,,$14.99 ,$8.72 ,2013,,Online,Amazon
The Visitation,Peretti,Frank,Fiction,Christian American,Y,,,,,,,,,
12 Rules for Life: An Antidote to Chaos,Peterson,Jordan B,Science,Psychology,Y,,Feb-18,1,$25.95 ,$15.57 ,2018,2018,Online,Amazon
Maps of Meaning: The Architecture of Belief,Peterson,Jordan B,Science,Psychology,N,,,,,,2018,2018,Online,Amazon
Islam and the Future of Tolerance,Nawaz,Majid,Religion,Islam,N,,,,,,,,,
Capital in the 21st Century,Piketty,Thomas,Business,Economics,N,,,,,,,,,
"Language, Cognition, and Human Nature",Pinker,Steven,Psychology,Linguistics,N,,,,,,,,,
Words and Rules,Pinker,Steven,Psychology,Linguistics,N,,,,,,,,,
The Blank Slate,Pinker,Steven,Psychology,,N,,,,,,,,,
The Stuff of Thought,Pinker,Steven,Psychology,,N,,,,,,,,,
The Language Instinct,Pinker,Steven,Psychology,Linguistics,N,,,,,,,,,
Radical,Nawaz,Majid,Religion,Islam,N,,,,,,,,,
Apologia Pro Vita Sua,Newman,John Henry,Religion,Catholicism,N,,,,,,,,,
Overwhelmed,Noble,Perry,Religion,Religion ,Y,15-Jan,15-Jan,1,$15.99 ,$15.99 ,2015,,Amazon,
The Bell Jar,Plath,Sylvia,Fiction,American,Y,17-Jun,17-Jun,1,$14.99 ,$14.99 ,2016,,Atlanta,
Republic,Plato,Plato,Philosophy,Greek,Y,17-Nov,17-Dec,1,$15.00 ,$9.15 ,2017,,Amaon,
Timaeus and Critias,Plato,Plato,Philosophy,Philosophy ,N,,,,$12.95 ,$5.00 ,2017,,Los Angeles,
Plato: Complete Works,Plato,Plato,Philosophy,Philosophy ,N,,,,$57.50 ,$57.50 ,2016,,Atlanta,
"Euthyphro, Apology, Crito, Menos, Gorgias, 
Menexenus",Plato,Plato,Philosophy,Philosophy ,N,,,,$20.00 ,$20.00 ,2015,,Atlanta,
Phaedrus,Plato,Plato,Philosophy,Greek,N,,,,,,,,,
On the Divine Images,Damascus,John of,Religion,Early Church,N,,,,$10.00 ,$10.00 ,2017,,Atlanta,
The Autobiography of St. Therese of Liseux,Liseux,Therese of,Religion,Catholicism,N,,,,$14.00 ,$14.00 ,2017,,Sacramento,
The Sense of Style,Pnker,Steven,Writing,Non-fiction,N,,,,,,,,,
The Omnivore's Dilemm,Pollan ,Michael,Science,Science - Nutrition,N,,,,$18.00 ,$18.00 ,2014,,Atlanta,
Brand Luther,Pettegree,Andrew,Religion,History,N,,,,$29.95 ,$29.95 ,2016,,Atlanta,
Desiring God,Piper,John,Religion,Religion,Y,14-Jan,14-Jan,1,$15.99 ,$15.99 ,2014,,Atlanta,
Jesus and the Jewish Roots of the Eucharyst,Pitre,Brant,Religion,Catholicism,N,,,,$15.00 ,$15.00 ,2017,,Atlanta,
Ishmael,Quinn,Daniel,Fiction,American,Y,16-Jan,16-Jan,1,$18.00 ,$18.00 ,2016,,Burbank,
Where the Conflict Really Lies,Plantinga ,Alvin,Religion,Apologetics,N,,,,$27.95 ,$27.95 ,2013,,Amazon,
Entreleadership,Ramsey,Dave,Business,Entrepreneurship,N,,,,$26.00 ,$0.00 ,2014,,Atlanta,
The Total Money Makeover,Ramsey,Dave,Business,Finance,Y,12-Jan,12-Jan,1,$24.99 ,$24.99 ,2012,,Atlanta,
Anthem,Rand ,Ayn,Fiction,American,Y,10-Jan,10-Jan,1,$7.99 ,$7.99 ,2010,,Kennesaw,
The Fountainhead,Rand ,Ayn,Fiction,American,N,,,,$25.00 ,$25.00 ,2011,,Atlanta,
Atlas Shrugged,Rand ,Ayn,Fiction,American,N,,,,$26.00 ,$26.00 ,2011,,Atlanta,
Strengthsfinder 2.0,Rath,Tom,Self-Help,Self-Help,Y,15-Jan,15-Jan,1,$27.95 ,$27.95 ,2015,,Atlanta,
Counter Culture,Platt,David,Religion,Religion,Y,15-Jan,15-Jan,1,$19.99 ,$19.99 ,2015,,Atlanta,
Radical Together,Platt,David,Religion,Religion,N,,,,$14.99 ,$14.99 ,2015,,Atlanta,
The Common Good,Reich,Robert B.,Politics,American,Y,,Apr-18,,$22.95 ,$22.95 ,2018,2018,St. Louis,Barnes & Noble
I'm Thinking of Ending Things,Reid,Ian,Fiction,American,Y,16-Jan,16-Jan,1,$22.95 ,$22.95 ,2016,,Omaha ,
The Lean Startup,Ries,Eric,Business,Entrepreneurship,N,,,,$28.00 ,$15.62 ,2015,,Amazon,
Please Stop Helping US,Riley,Jason,Current Events,,N,,,,,,,,,
Stiff,Roach,Mary,Science,,Y,,,,,,,,,
Becoming the One,Roat,Salome,Dating,Christian,N,,,,$15.00 ,$0.00 ,,,,
Unshakeable,Robbins,Tony,Business,Finance,N,17-Jan,,,$26.00 ,$26.00 ,2017,,Burbank,
Money: Master the Game,Robbins,Tony,Business,Finance,N,14-Jan,,,$28.00 ,$28.00 ,2014,,Atlanta,
Poder Sem Limites,Robbins,Anthony,Business,Self-Help,N,,,,$20.00 ,$20.00 ,2017,,Natal,
Awaken the Giant Within,Robbins,Tony,Business,Self-Help,Y,,,,,,,,,
God's Bankers,Posner,Gerald,Religion,Catholicism,N,,,,$30.00 ,$13.45 ,2017,,Amazon,
Viva a Lingua Brasileira,Rodrigues,Sergio,Science,Linguistics,N,,,,,,,,,
The Rational Bible: Exodus,Prager,Dennis,Religion,Judaism,N,,,,,,,,,
The Philosopher's Handbook,Rosen,,Philosophy,,N,,,,,,,,,
Seven Brief Lessons on Physics,Rovelli,Carlo,Science,Physics,Y,,,1,$18.00 ,$11.30 ,2015,,Amazon,
The Satanic Verses,Rushdie,Salman,Fiction,Indian,N,14-Jan,,,$17.00 ,$17.00 ,2017,,Atlanta,
Haroun and the Sea of Stories,Rushdie,Salman,Fiction,Indian,N,,,,$16.00 ,$16.00 ,2016,,Atlanta,
The Problem of Philosophy,Russell,Betrand,Philosophy,Philosophy ,N,,,,$7.95 ,$7.95 ,2010,,Kennesaw,
The Man Who Mistook His Wife For a Hat,Sacks ,Oliver,Science,Science - Psychology,N,17-Apr,,,$15.99 ,$9.69 ,2017,,San Diego,
O Pequeno Principe,Saint-Exupery,Antoine de,Fiction,Children - French,N,,,,$20.00 ,$20.00 ,2017,,Natal,
What Money Can't Buy,Sandel,Michael,Philosophy,Philosophy ,N,,,,$15.00 ,$15.00 ,2014,,Atlanta,
Ensayo Sobe la Ceguera,Saramago ,Jose,Fiction,Portuguese,N,,,,$9.95 ,$9.95 ,2017,,Atlanta,
Nausea,Sartre,Jean-Paul,Fiction,French,N,,,,$14.95 ,$14.95 ,2014,,Atlanta,
Existentialism is a Humanism,Sartre,Jean-Paul,Philosophy,French,Y,9-Jan,9-Jan,1,$9.95 ,$9.95 ,2009,,Canton,
Dominion,Scully,Matthew,Philosophy,Philosophy ,N,,,,$19.99 ,$14.93 ,2017,,Amazon,
Magic of Public Speaking,Sedniev,Andrii,Public Speaking,Public Speaking,N,12-Jan,12-Jan,,$9.95 ,$9.95 ,2012,,Amazon,
Letters From a Stoic,Seneca,Seneca,Philosophy,Roman,Y,17-Jan,17-Aug,1,$16.00 ,$13.60 ,2017,,Atlanta,
Orthodoxy and Catholicism: What Are the Differences? ,Pulcini,Theodore,Religion,Orthodoxy,Y,17-Nov,17-Nov,1,$3.95 ,$3.95 ,2017,2017,San Francisco,
The Signal and the Noise,Silver,Nate,Science,Statistics,N,,,,$18.00 ,$18.00 ,2017,,Tampa,
Start With Why,Sinek,Simon,Business,Motivation,Y,14-Jan,14-Jan,1,$16.00 ,$16.00 ,2014,,Atlanta,
Animal Liberation,Singer,Peter,Philosophy,American,Y,17-Jun,17-Jun,1,$14.99 ,$10.23 ,2017,,Amazon,
The Ethics of What We Eat,Singer,Peter,Philosophy,Philosophy ,N,,,,$16.99 ,$13.84 ,2017,,Amazon,
The Most Good You Can Do,Singer,Peter,Philosophy,Philosophy ,N,,,,$25.00 ,$25.00 ,2016,,Atlanta,
"Seeking Allah, Finding Jesus",Qureshi,Nabeel,Religion,Apologetics,Y,14-Jan,14-Jan,1,$16.99 ,$16.99 ,2014,,Atlanta,
The Immortal Life of Henrietta Lacks,Skloot,Rebecca,Science,Biology,N,,,,,,,,,
The Grim Grotto,Snicket,Lemony,Fiction,Children - American,Y,,,,,,,,,
The Slippery Slope,Snicket,Lemony,Fiction,Children - American,Y,,,,,,,,,
The Gulag Archipelago,Solzhenitsyn,Aleksandr,History,Russian,N,,,,,,,,,
"""Tricle Down"" Theory and ""Tax Cuts for the Rich""",Sowell,Thomas,Politics,American,Y,,,,,,,,,
Black Rednecks and White Liberals,Sowell,Thomas,Politics,,Y,,,,,,,,,
Discrimination and Disparities,Sowell,Thomas,Business,Economics,N,,,,,,,,,
Crossing the Tiber,Ray,Stephen,Religion,Catholicism,Y,17-Sep,17-Sep,1,$18.95 ,$10.90 ,2017,,Amazon,
Upon this Rock,Ray,Stephen,Religion,Catholicism,N,,,,$18.95 ,$14.54 ,2017,,Amazon,
The Millionaire Next Door,Stanley ,Thomas,Business,Finance,Y,,,1,$22.00 ,$22.00 ,2014,,Amazon,
Essential Judaism,Robinson,George,Religion,Judaism,N,,,,,,,,,
East of Eden ,Steinbeck,John,Fiction,American,Y,15-Jan,17-Sep,1,$18.00 ,$18.00 ,2015,,Atlanta,
The Mathematics of Life,Stewart,Ian,Science,Science - Math,N,,,,$27.99 ,$15.00 ,2016,,Oklahoma City,
The War Against Boys,Summers,Christina Hoff,Politics,American,Y,,May-18,1,$17.00 ,$9.99 ,2018,2018,Online,Amazon
The Theoretical Minimum: Physics,Susskind,Leonard,Science,Physics,N,,,,$16.99 ,$16.99 ,2017,,Atlanta,
Quantum Mechanics ,Susskind,Leonard,Science,Science - Physics,N,,,,$17.99 ,$17.99 ,2016,,Atlanta,
The Nest,Sweeney,Cynthia D'Aprix,Fiction ,American,N,,,,$22.99 ,$5.98 ,2017,,San Francisco,Green Apple Books
The Goldfinch,Tartt,Donna,Fiction,American,N,,,,$30.00 ,$8.00 ,2017,,Atlanta,
The Place of Blessed Augustine,Rose,Seraphim,Religion,Orthodoxy,N,,,,$10.00 ,$10.00 ,2017,,San Francisco,
The Soul After Death,Rose,Seraphim,Religion,,,,,,,,,,,
Lif of Christ,Sheen,Fulton,Religion,Catholicism,N,,,,$19.00 ,$15.00 ,2017,,Spokane,
Zero to One,Thiel,Peter,Business,Entrepreneurship,Y,14-Jan,14-Jan,1,$27.00 ,$27.00 ,2014,,Atlanta,
Walden,Thoreau,Henry David,Philosophy,Philosophy ,Y,9-Jan,9-Jan,1,$15.00 ,$15.00 ,2009,,Canton,
Becoming Wise,Tippet,Krista,Philosophy,Philosophy ,N,,,,$17.00 ,$17.00 ,2016,,Atlanta,
The Fellowship of the Ring,Tolkien,J.R.R.,Fiction,British,N,,,,$10.95 ,$10.95 ,2017,,Atlanta,
The Lord of the Rings 50 Year Anniversary Edition,Tolkien,J.R.R.,Fiction,British,N,,,,$20.00 ,$20.00 ,2017,,Sacramet,
O Hobbit,Tolkien,J.R.R.,Fiction,British,N,,,,$15.00 ,$15.00 ,2017,,Natal,
A Sociedade do Anel,Tolkien,J.R.R.,Fiction,British,N,,,,,,,,,
As Duas Torres,Tolkien,J.R.R.,Fiction,British,N,,,,,,,,,
O Retorno do Rei,Tolkien,J.R.R.,Fiction,British,N,,,,,,,,,
The Hobbit,Tolkien,J.R.R.,Fiction,British,N,,,,,,,,,
Habits of the Mind,Sire,James,Religion,Religion,N,,,,$15.00 ,$15.00 ,2013,,Amazon,
Anna Karenina,Tolstoy,Leo,Fiction,Russian,Y,15-Jan,17-Sep,1,$18.00 ,$18.00 ,2015,,Atlanta,
The Death of Ivan Ilyich,Tolstoy,Leo,Fiction,Russian,N,,,,$16.95 ,$16.95 ,2016,,Tucson,
The Death of Ivan Ilyich (Hardcover),Tolstoy,Leo,Fiction,Russian,N,,,,,,,,,
War and Peace,Tolstoy,Leo,Fiction,Russian,N,,,,,,,,,
Biblical Literalism: A Gentile Heresy,Spong,John Shelby,Religion,Religion,N,,,,$26.99 ,$26.99 ,2016,,Amazon,
Orthodox Spirituality,Staniloae,Dumitru,Religion,Orthodoxy,N,,,,,,,,,
"Love, Sex & Dating",Stanley ,Andy,Religion,Dating,Y,14-Jan,14-Jan,1,$14.99 ,$14.99 ,2014,,Atlanta,
"Orthodoxy: Catholicism Without Additions, Protestantism Without Subtractions",Suciu,Danut,Religion,Orthodoxy,N,,,,$2.99 ,$0.00 ,2018,,Saint Louis,Archangels Books & Gifts
Change Your Thinking Change Your Life,Tracy,Brian,Self-Help,Self-Help,Y,,,1,$8.00 ,$8.00 ,2016,,Atlanta,
No Excuses,Tracy,Brian,Self-Help,Self-Help,N,,,,$8.00 ,$8.00 ,2016,,Atlanta,
The Vatican Prophecies,Thavis,John,Religion,Catholicism,Y,17-Aug,17-Aug,1,$27.95 ,$15.97 ,2017,,Amazon,
Economics for the Common Good,Triole,Jean,Business,Economics,N,,,,,,,,,
The Art of War,Tzu,Sun,Philosophy,War,N,,,,,,,,,
Dark Night of the Soul,the Cross,John of,Religion,Catholicism,N,,,,$14.00 ,$14.00 ,2015,,Oklahoma City,
The Path to Salvation,The Recluse,St. Theophan ,Religion,Orthodoxy,N,,,,,,,,,
The Constitution of the United States of America,USA,USA,Law,Law,N,,,,$7.98 ,$7.98 ,2017,,Atlanta,
A Confession,Tolstoy,Leo,Religion,Christian,Y,13-Jan,13-Jan,1,$10.00 ,$10.00 ,2013,,Atlanta,
Prayer,Tozer,A.W.,Religion,Religion,N,,,,$14.99 ,$14.99 ,2016,,Atlanta,
God's Pursuit of Man,Tozer,A.W.,Religion,Religion,N,,,,$12.99 ,$0.00 ,2015,,Atlanta,
Crush It! ,Vaynerchuk,Gary,Business,Entrepreneurship,Y,17-May,17-May,1,$22.99 ,$22.99 ,2017,,Alpharetta,
#AskGaryVee,Vaynerchuk,Gary,Business,Entrepreneurship,N,,,,$29.99 ,$29.99 ,2016,,Atlanta,
"Jab, Jab, Right hook",Vaynerchuk,Gary,Business,Entrepreneurship,N,,,,$29.99 ,$16.85 ,2016,,Amazon,
The Thnk You Economy,Vaynerchuk,Gary,Business,Entrepreneurship,Y,17-May,17-May,1,$25.99 ,$15.26 ,2017,,Amazon,
Candide,Voltaire,Voltaire,Fiction,French,Y,10-Jan,10-Jan,1,$4.95 ,$4.95 ,2010,,Atlanta,
Cat's Cradle,Vonnegut,Kurt,Fiction,American,Y,16-Jan,16-Jan,1,$16.00 ,$16.00 ,2016,,Atlanta,
Slaughterhouse-Five,Vonnegut,Kurt,Fiction,American,Y,10-Jan,10-Jan,1,$15.00 ,$15.00 ,2010,,Atlanta,
Life Without Limits,Vujicic,Nick,Self-Help,Self-Help,Y,15-Jan,15-Jan,1,$14.99 ,$14.99 ,2015,,Alpharetta,
The Glass Castle,Walls,Jeannette,Memoir,Memoir,Y,,,1,$17.00 ,$17.00 ,2016,,Atlanta,
The Knowledge of the Holy,Tozer,A.W.,Religion,Religion,N,,,,$13.99 ,$0.00 ,2015,,Atlanta,
"In a Dark, Dark Wood",Ware,Ruth,Fiction,American,N,,,,$16.00 ,$16.00 ,2016,,Atlanta,
Man: The Dwelling Place of God,Tozer,A.W.,Religion,Religion,N,,,,$15.00 ,$0.00 ,2015,,Atlanta,
The First 90 Days,Watkins,Michael,Business,Management,N,,,,$30.00 ,$16.17 ,2017,,Atlanta,
"Rock and Sand: An Orthodox Appraisal of the 
Protestand Reformers and Their Teachings",Trenham,Josiah,Religion,Orthodoxy,Y,17-Nov,17-Nov,1,$22.99 ,$22.99 ,2017,,Amazon,
The Invisible Man,Wells,H.G.,Fiction,British,Y,,,,,,,,,
Naked Economics,Wheelan,Charles ,Business,Economics,Y,17-Mar,17-Mar,1,$16.95 ,$16.95 ,2017,,Atlanta,
Naked Money,Wheelan,Charles ,Business,Economics,N,,,,$27.95 ,$20.00 ,2017,,Amazon,
The Case Interview: 20 Days to Ace the Case,Whitehurst,Destin,Study Aids,Case Study,N,,,,$14.99 ,$12.74 ,2017,,Amazon,
The Reformation: 500 Years Later,Wiker,Benjamin,History,Christian,Y,,,1,$29.99 ,$29.99 ,2017,,Atlanta,
The Cloud of Unknowing,unknown,unknown,Religion,Catholicism,N,,,,$14.00 ,$11.36 ,2016,,Amazon,
A Beautiful Question,Wilczek,Frank ,Science,Science - Biology,N,,,,$29.95 ,$29.95 ,2015,,Atlanta,
An Orthodox Prayer Book,unknown,unknown,Religion,Christian Orthodox,N,,,,,,,,,
Los Books of the Bible,Various,Various,Religion,Scriptures,N,,,,$7.00 ,$7.00 ,2016,,Atlanta,
Catechism of the Catholic Church,Vatican,Vaican,Religion,Catholicism,N,,,,$16.00 ,$16.00 ,2016,,Atlanta,
The Basson King,Wilson,Rainn,Memoir,Memoir,N,,,,$16.00 ,$16.00 ,2015,,Atlanta,
The Inner Life of Animals,Wohlleben,Peter,Science,Science,N,,,,$24.95 ,$17.50 ,2017,,Sacramento,
A Century of Wealth in America,Wolff,Edward,Business,Economics,N,,,,,,,,,
Vatican II: Essential Texts,Vatican,Vatican,Religion,Catholicism,Y,17-Jan,17-Sep,1,$17.00 ,$17.00 ,2016,,Atlanta,
The Orthodox Church,Ware,Timothy,Religion,Orthodoxy,N,,,,$18.00 ,$14.40 ,2017,,Amazon,
On Writing,Zinsser,William,Writing,Writing,Y,12-Jan,12-Jan,1,$15.99 ,$15.99 ,2010,,Kennesaw,
A Menina Que Roubava Livros,Zusak,Markus,Fiction,American,N,,,,$20.00 ,$0.00 ,2017,,Natal,
What on Earth Am I Here For? ,Warren,Rick,Religion,Religion,N,,,,$22.99 ,$22.99 ,2015,,Atlanta,
The Four Pillars of a Man's Heart,Weber,Stu,Religion,Manhood,N,,,,$18.99 ,$18.99 ,2015,,Atlanta,
Touching the Heart of God,Wilbur,Paulo,Religion,Religion,N,,,,$14.99 ,$14.99 ,2016,,Atlanta,
The Spirit of the Disciplines,Willard,Dallas,Religion,Religion,N,,,,$15.99 ,$15.99 ,2014,,Amazon,
The Divine Conspiracy,Willard,Dallas,Religion,Religion,N,,,,$24.99 ,$24.99 ,2014,,Amazon,
Hearing God,Willard,Dallas,Religion,Christian,Y,14-Jan,14-Jan,1,$18.00 ,$10.78 ,2014,,Amazon,
Basic Economics,Sowell,Thomas,Business,Economics,,,,,,,,,,
Beyond Opinion,Zacharias,Ravi,Religion,Apologetics,N,,,,$15.99 ,$15.99 ,2016,,Tucson,
Remember Thy First Love,Zacharias,Archimandrite,Religion,Orthodoxy,N,,,,$27.95 ,$27.95 ,2018,,Saint Louis,Archangels Books & Gifts
Blessed John Duns Scotus: The Case for the Existence of God and the Immaculate Conception,Ziccardi,M. James,Religion,Catholicism,N,,,,,,,,,
Exploring Catholic Theology,Barron,Robert B.,Religion,Catholicism,,,,,,,,,,
The Strange Death of Europe,Murray,Douglas,Politics,Current Events,Y,,Jul-18,1,$26.00 ,$26.00 ,2018,2018,Saint Louis,Barnes & Noble
